name,type,value,date
山口茜,日本,67139,2016-12-09
内维尔,印度,65759,2016-12-09
辛德胡,印度,65549,2016-12-09
戴资颖,中国台北,84611,2016-12-16
马琳,西班牙,75090,2016-12-16
成池铉,韩国,73326,2016-12-16
孙瑜,中国,70870,2016-12-16
因达农,泰国,70524,2016-12-16
辛德胡,印度,69399,2016-12-16
山口茜,日本,68149,2016-12-16
李雪芮,中国,67654,2016-12-16
何冰娇,中国,65481,2016-12-16
内维尔,印度,63559,2016-12-16
戴资颖,中国台北,84611,2016-12-23
马琳,西班牙,75090,2016-12-23
成池铉,韩国,73326,2016-12-23
孙瑜,中国,70870,2016-12-23
因达农,泰国,70524,2016-12-23
辛德胡,印度,69399,2016-12-23
山口茜,日本,68149,2016-12-23
李雪芮,中国,67654,2016-12-23
何冰娇,中国,65481,2016-12-23
内维尔,印度,63559,2016-12-23
戴资颖,中国台北,96225,2016-12-30
陈雨菲,中国,90365,2016-12-30
奥原希望,日本,90336,2016-12-30
山口茜,日本,86730,2016-12-30
辛德胡,印度,78784,2016-12-30
何冰娇,中国,75920,2016-12-30
因达农,泰国,73085,2016-12-30
马琳,西班牙,70000,2016-12-30
内维尔,印度,69017,2016-12-30
成池铉,韩国,58870,2016-12-30
戴资颖,中国台北,84611,2017-01-06
马琳,西班牙,75090,2017-01-06
成池铉,韩国,73326,2017-01-06
孙瑜,中国,70870,2017-01-06
因达农,泰国,70524,2017-01-06
辛德胡,印度,69399,2017-01-06
山口茜,日本,68149,2017-01-06
李雪芮,中国,67654,2017-01-06
何冰娇,中国,65481,2017-01-06
内维尔,印度,63559,2017-01-06
戴资颖,中国台北,84611,2017-01-13
马琳,西班牙,75090,2017-01-13
成池铉,韩国,73326,2017-01-13
孙瑜,中国,70870,2017-01-13
因达农,泰国,70524,2017-01-13
辛德胡,印度,69399,2017-01-13
山口茜,日本,68149,2017-01-13
李雪芮,中国,67654,2017-01-13
何冰娇,中国,65481,2017-01-13
内维尔,印度,63559,2017-01-13
戴资颖,中国台北,84611,2017-01-20
马琳,西班牙,75090,2017-01-20
成池铉,韩国,73326,2017-01-20
孙瑜,中国,70870,2017-01-20
因达农,泰国,70524,2017-01-20
辛德胡,印度,69399,2017-01-20
山口茜,日本,68149,2017-01-20
李雪芮,中国,67654,2017-01-20
何冰娇,中国,65481,2017-01-20
内维尔,印度,63559,2017-01-20
戴资颖,中国台北,84611,2017-01-27
马琳,西班牙,75090,2017-01-27
成池铉,韩国,73326,2017-01-27
孙瑜,中国,70870,2017-01-27
因达农,泰国,70524,2017-01-27
山口茜,日本,68149,2017-01-27
李雪芮,中国,67654,2017-01-27
内维尔,印度,66709,2017-01-27
辛德胡,印度,66249,2017-01-27
何冰娇,中国,65481,2017-01-27
戴资颖,中国台北,84611,2017-02-03
马琳,西班牙,75090,2017-02-03
成池铉,韩国,72376,2017-02-03
孙瑜,中国,70870,2017-02-03
因达农,泰国,70524,2017-02-03
辛德胡,印度,69399,2017-02-03
山口茜,日本,68149,2017-02-03
李雪芮,中国,67654,2017-02-03
内维尔,印度,66709,2017-02-03
何冰娇,中国,65481,2017-02-03
戴资颖,中国台北,84611,2017-02-10
马琳,西班牙,75090,2017-02-10
成池铉,韩国,72376,2017-02-10
孙瑜,中国,70870,2017-02-10
因达农,泰国,70524,2017-02-10
辛德胡,印度,69399,2017-02-10
山口茜,日本,68149,2017-02-10
李雪芮,中国,67654,2017-02-10
内维尔,印度,66709,2017-02-10
何冰娇,中国,65481,2017-02-10
戴资颖,中国台北,84611,2017-02-17
马琳,西班牙,75090,2017-02-17
成池铉,韩国,72376,2017-02-17
孙瑜,中国,70742,2017-02-17
辛德胡,印度,69399,2017-02-17
山口茜,日本,68149,2017-02-17
李雪芮,中国,67654,2017-02-17
因达农,泰国,67124,2017-02-17
内维尔,印度,66709,2017-02-17
何冰娇,中国,65481,2017-02-17
戴资颖,中国台北,84611,2017-02-24
马琳,西班牙,74554,2017-02-24
成池铉,韩国,72376,2017-02-24
孙瑜,中国,70244,2017-02-24
辛德胡,印度,69399,2017-02-24
山口茜,日本,69359,2017-02-24
李雪芮,中国,67654,2017-02-24
因达农,泰国,67124,2017-02-24
何冰娇,中国,66972,2017-02-24
内维尔,印度,66709,2017-02-24
戴资颖,中国台北,84611,2017-03-03
马琳,西班牙,74554,2017-03-03
成池铉,韩国,72376,2017-03-03
孙瑜,中国,70244,2017-03-03
辛德胡,印度,69399,2017-03-03
山口茜,日本,69359,2017-03-03
李雪芮,中国,67654,2017-03-03
因达农,泰国,67124,2017-03-03
何冰娇,中国,66972,2017-03-03
内维尔,印度,66709,2017-03-03
戴资颖,中国台北,84611,2017-03-10
马琳,西班牙,75464,2017-03-10
成池铉,韩国,72376,2017-03-10
山口茜,日本,71319,2017-03-10
孙瑜,中国,70244,2017-03-10
辛德胡,印度,69399,2017-03-10
因达农,泰国,67124,2017-03-10
何冰娇,中国,66972,2017-03-10
内维尔,印度,66709,2017-03-10
奥原希望,日本,60807,2017-03-10
戴资颖,中国台北,87911,2017-03-17
成池铉,韩国,74026,2017-03-17
山口茜,日本,73979,2017-03-17
马琳,西班牙,73814,2017-03-17
辛德胡,印度,71599,2017-03-17
孙瑜,中国,70970,2017-03-17
因达农,泰国,70424,2017-03-17
何冰娇,中国,66972,2017-03-17
内维尔,印度,66709,2017-03-17
李雪芮,中国,54604,2017-03-17
戴资颖,中国台北,87911,2017-03-24
成池铉,韩国,74026,2017-03-24
山口茜,日本,73979,2017-03-24
马琳,西班牙,73814,2017-03-24
辛德胡,印度,71599,2017-03-24
孙瑜,中国,70970,2017-03-24
因达农,泰国,70424,2017-03-24
内维尔,印度,65659,2017-03-24
何冰娇,中国,64292,2017-03-24
李雪芮,中国,54604,2017-03-24
戴资颖,中国台北,87911,2017-03-31
山口茜,日本,73979,2017-03-31
马琳,西班牙,73814,2017-03-31
成池铉,韩国,73076,2017-03-31
辛德胡,印度,71599,2017-03-31
孙瑜,中国,70970,2017-03-31
因达农,泰国,70424,2017-03-31
内维尔,印度,65659,2017-03-31
何冰娇,中国,64292,2017-03-31
李雪芮,中国,54604,2017-03-31
戴资颖,中国台北,87911,2017-04-07
辛德胡,印度,75759,2017-04-07
马琳,西班牙,75664,2017-04-07
山口茜,日本,74349,2017-04-07
成池铉,韩国,73446,2017-04-07
孙瑜,中国,70970,2017-04-07
因达农,泰国,66264,2017-04-07
何冰娇,中国,64292,2017-04-07
内维尔,印度,64279,2017-04-07
奥原希望,日本,54847,2017-04-07
戴资颖,中国台北,89561,2017-04-14
马琳,西班牙,78964,2017-04-14
成池铉,韩国,74726,2017-04-14
山口茜,日本,74349,2017-04-14
辛德胡,印度,73559,2017-04-14
孙瑜,中国,71070,2017-04-14
何冰娇,中国,64292,2017-04-14
因达农,泰国,61314,2017-04-14
内维尔,印度,59579,2017-04-14
奥原希望,日本,58227,2017-04-14
戴资颖,中国台北,93721,2017-04-21
马琳,西班牙,80714,2017-04-21
辛德胡,印度,74749,2017-04-21
成池铉,韩国,74726,2017-04-21
山口茜,日本,73979,2017-04-21
孙瑜,中国,69220,2017-04-21
何冰娇,中国,61722,2017-04-21
内维尔,印度,59579,2017-04-21
奥原希望,日本,57287,2017-04-21
因达农,泰国,55714,2017-04-21
戴资颖,中国台北,93721,2017-04-28
马琳,西班牙,80714,2017-04-28
辛德胡,印度,74749,2017-04-28
