name,type,value,date
傅海峰&张楠,中国,75665,2016-08-25
金基正&金沙朗,韩国,74047,2016-08-25
柴飚&洪炜,中国,73580,2016-08-25
塞蒂亚万&阿山,印尼,65520,2016-08-25
高成炫&申白喆,韩国,65243,2016-08-25
鲍伊&摩根森,丹麦,64754,2016-08-25
远藤大由&早川贤一,日本,63377,2016-08-25
吴蔚昇&陈蔚强,马来西亚,63237,2016-08-25
彼德森&科丁,丹麦,63143,2016-08-25
费尔纳迪&苏卡穆约,印尼,60211,2016-08-25
索松诺夫&伊万诺夫,俄罗斯,59173,2016-08-25
普拉塔玛&苏华迪,印尼,57959,2016-08-25
李俊慧&刘雨辰,中国,55139,2016-08-25
嘉村健士&园田启悟,日本,53122,2016-08-25
李龙大&柳延星,韩国,93379,2016-09-01
傅海峰&张楠,中国,75665,2016-09-01
金基正&金沙朗,韩国,74047,2016-09-01
柴飚&洪炜,中国,73580,2016-09-01
塞蒂亚万&阿山,印尼,65520,2016-09-01
高成炫&申白喆,韩国,65243,2016-09-01
鲍伊&摩根森,丹麦,64754,2016-09-01
远藤大由&早川贤一,日本,63377,2016-09-01
吴蔚昇&陈蔚强,马来西亚,63237,2016-09-01
彼德森&科丁,丹麦,63143,2016-09-01
费尔纳迪&苏卡穆约,印尼,60211,2016-09-01
索松诺夫&伊万诺夫,俄罗斯,59173,2016-09-01
普拉塔玛&苏华迪,印尼,57959,2016-09-01
李俊慧&刘雨辰,中国,55139,2016-09-01
嘉村健士&园田启悟,日本,53122,2016-09-01
李龙大&柳延星,韩国,93379,2016-09-08
傅海峰&张楠,中国,75665,2016-09-08
金基正&金沙朗,韩国,74047,2016-09-08
柴飚&洪炜,中国,71230,2016-09-08
塞蒂亚万&阿山,印尼,65520,2016-09-08
高成炫&申白喆,韩国,65243,2016-09-08
鲍伊&摩根森,丹麦,64754,2016-09-08
远藤大由&早川贤一,日本,63377,2016-09-08
吴蔚昇&陈蔚强,马来西亚,63237,2016-09-08
彼德森&科丁,丹麦,63143,2016-09-08
费尔纳迪&苏卡穆约,印尼,60211,2016-09-08
索松诺夫&伊万诺夫,俄罗斯,59173,2016-09-08
普拉塔玛&苏华迪,印尼,58539,2016-09-08
李俊慧&刘雨辰,中国,53839,2016-09-08
嘉村健士&园田启悟,日本,53122,2016-09-08
李龙大&柳延星,韩国,91879,2016-09-15
金基正&金沙朗,韩国,74047,2016-09-15
傅海峰&张楠,中国,72905,2016-09-15
柴飚&洪炜,中国,71230,2016-09-15
高成炫&申白喆,韩国,65243,2016-09-15
塞蒂亚万&阿山,印尼,64800,2016-09-15
鲍伊&摩根森,丹麦,64754,2016-09-15
彼德森&科丁,丹麦,63143,2016-09-15
吴蔚昇&陈蔚强,马来西亚,62517,2016-09-15
远藤大由&早川贤一,日本,61277,2016-09-15
费尔纳迪&苏卡穆约,印尼,60211,2016-09-15
索松诺夫&伊万诺夫,俄罗斯,59173,2016-09-15
普拉塔玛&苏华迪,印尼,56439,2016-09-15
李俊慧&刘雨辰,中国,53839,2016-09-15
古健杰&陈文宏,马来西亚,52973,2016-09-15
李龙大&柳延星,韩国,89679,2016-09-22
傅海峰&张楠,中国,71525,2016-09-22
金基正&金沙朗,韩国,71287,2016-09-22
柴飚&洪炜,中国,71230,2016-09-22
塞蒂亚万&阿山,印尼,66180,2016-09-22
高成炫&申白喆,韩国,65243,2016-09-22
鲍伊&摩根森,丹麦,63374,2016-09-22
彼德森&科丁,丹麦,63143,2016-09-22
吴蔚昇&陈蔚强,马来西亚,62517,2016-09-22
远藤大由&早川贤一,日本,60557,2016-09-22
费尔纳迪&苏卡穆约,印尼,60211,2016-09-22
李俊慧&刘雨辰,中国,59439,2016-09-22
索松诺夫&伊万诺夫,俄罗斯,59173,2016-09-22
普拉塔玛&苏华迪,印尼,56439,2016-09-22
嘉村健士&园田启悟,日本,54502,2016-09-22
李龙大&柳延星,韩国,91879,2016-09-29
柴飚&洪炜,中国,72670,2016-09-29
傅海峰&张楠,中国,71525,2016-09-29
金基正&金沙朗,韩国,71287,2016-09-29
塞蒂亚万&阿山,印尼,66900,2016-09-29
高成炫&申白喆,韩国,65243,2016-09-29
吴蔚昇&陈蔚强,马来西亚,64617,2016-09-29
李俊慧&刘雨辰,中国,63389,2016-09-29
鲍伊&摩根森,丹麦,63374,2016-09-29
彼德森&科丁,丹麦,63143,2016-09-29
远藤大由&早川贤一,日本,60557,2016-09-29
费尔纳迪&苏卡穆约,印尼,60211,2016-09-29
索松诺夫&伊万诺夫,俄罗斯,59173,2016-09-29
普拉塔玛&苏华迪,印尼,56439,2016-09-29
嘉村健士&园田启悟,日本,55942,2016-09-29
李龙大&柳延星,韩国,91879,2016-10-06
柴飚&洪炜,中国,72670,2016-10-06
傅海峰&张楠,中国,71525,2016-10-06
金基正&金沙朗,韩国,71287,2016-10-06
塞蒂亚万&阿山,印尼,66900,2016-10-06
高成炫&申白喆,韩国,65243,2016-10-06
吴蔚昇&陈蔚强,马来西亚,64617,2016-10-06
李俊慧&刘雨辰,中国,63389,2016-10-06
鲍伊&摩根森,丹麦,63374,2016-10-06
彼德森&科丁,丹麦,63143,2016-10-06
远藤大由&早川贤一,日本,60557,2016-10-06
索松诺夫&伊万诺夫,俄罗斯,60353,2016-10-06
费尔纳迪&苏卡穆约,印尼,59631,2016-10-06
嘉村健士&园田启悟,日本,55942,2016-10-06
普拉塔玛&苏华迪,印尼,55859,2016-10-06
李龙大&柳延星,韩国,91879,2016-10-13
柴飚&洪炜,中国,72670,2016-10-13
傅海峰&张楠,中国,71525,2016-10-13
金基正&金沙朗,韩国,71287,2016-10-13
塞蒂亚万&阿山,印尼,66900,2016-10-13
高成炫&申白喆,韩国,65243,2016-10-13
吴蔚昇&陈蔚强,马来西亚,64617,2016-10-13
李俊慧&刘雨辰,中国,63389,2016-10-13
鲍伊&摩根森,丹麦,63374,2016-10-13
彼德森&科丁,丹麦,63143,2016-10-13
远藤大由&早川贤一,日本,60557,2016-10-13
索松诺夫&伊万诺夫,俄罗斯,60353,2016-10-13
费尔纳迪&苏卡穆约,印尼,59631,2016-10-13
嘉村健士&园田启悟,日本,55942,2016-10-13
普拉塔玛&苏华迪,印尼,55859,2016-10-13
李龙大&柳延星,韩国,87879,2016-10-20
吴蔚昇&陈蔚强,马来西亚,71297,2016-10-20
金基正&金沙朗,韩国,71287,2016-10-20
柴飚&洪炜,中国,70220,2016-10-20
傅海峰&张楠,中国,68145,2016-10-20
塞蒂亚万&阿山,印尼,66900,2016-10-20
高成炫&申白喆,韩国,65243,2016-10-20
